# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	0.9966188	8.562565e-07	-2.1736923e-10	0.5	0	0	-9.050822e-17
0	0.9965464	2.332672e-08	-1.3542376e-09	0.49	0	0	-8.8418236e-17
0	0.9964713	-1.9208528e-09	-1.718945e-09	0.48	0	0	-8.63284e-17
0	0.9963936	-1.8480932e-09	-8.749339e-10	0.47	0	0	-8.423872e-17
0	0.99631315	-3.9071892e-09	-1.2414603e-09	0.46	0	0	-8.214922e-17
0	0.9962297	-2.1318556e-09	-1.4197212e-09	0.45000002	0	0	-8.005989e-17
0	0.99614334	-1.9135769e-09	1.8480932e-09	0.44000003	0	0	-7.797073e-17
0	0.9960537	-2.9613147e-09	-8.7038643e-10	0.43000004	0	0	-7.5881764e-17
0	0.99596065	-4.300091e-09	-3.6470738e-10	0.42000005	0	0	-7.379299e-17
0	0.9958641	-1.2732926e-09	-1.9372237e-09	0.41000006	0	0	-7.170441e-17
0	0.9957638	-2.5174813e-09	1.364242e-10	0.40000007	0	0	-6.961603e-17
0	0.99565953	-5.0858944e-09	-1.1095835e-09	0.39	0	0	-6.752787e-17
0	0.99555105	-3.099558e-09	-1.8098945e-10	0.38	0	0	-6.543993e-17
0	0.9954381	-3.9945007e-09	3.9108272e-11	0.37	0	0	-6.335223e-17
0	0.99532056	-4.4019544e-09	-1.8499122e-09	0.36	0	0	-6.126477e-17
0	0.9951981	-3.1650416e-09	1.0095391e-10	0.34999993	0	0	-5.917755e-17
0	0.99507046	-1.5352271e-09	-1.1277734e-09	0.33999994	0	0	-5.7090616e-17
0	0.9949372	-4.4092303e-09	-1.4861143e-09	0.33	0	0	-5.5003937e-17
0	0.9947982	-7.501512e-09	-1.1268639e-09	0.31999996	0	0	-5.291754e-17
0	0.99465275	-2.39379e-09	-2.0672815e-09	0.30999997	0	0	-5.0831446e-17
0	0.9945008	-3.5288394e-09	-1.5597834e-09	0.29999998	0	0	-4.8745677e-17
0	0.9943418	-5.4060365e-09	-1.2105374e-09	0.29	0	0	-4.666023e-17
0	0.9941752	-4.0672603e-09	-1.6616468e-09	0.28	0	0	-4.4575112e-17
0	0.9940007	-4.7148205e-09	-6.9849193e-10	0.27	0	0	-4.2490356e-17
0	0.99381745	-5.5661076e-09	-3.965397e-10	0.26	0	0	-4.0405976e-17
0	0.99362534	-4.0017767e-09	-1.4661055e-09	0.25	0	0	-3.8321984e-17
0	0.99342334	-1.382432e-09	-1.7971615e-09	0.24	0	0	-3.6238412e-17
0	0.9932108	-2.924935e-09	-1.6916601e-10	0.23	0	0	-3.4155283e-17
0	0.99298716	-5.0349627e-09	-4.838512e-10	0.22000001	0	0	-3.2072595e-17
0	0.9927516	-5.5442797e-09	-1.6116246e-09	0.21000002	0	0	-2.9990393e-17
0	0.99250275	-4.7439244e-09	-1.7789716e-09	0.20000003	0	0	-2.7908707e-17
0	0.9922404	-6.8248482e-09	-1.8408173e-09	0.19	0	0	-2.5827553e-17
0	0.9919629	-5.500624e-09	-1.1004886e-09	0.18	0	0	-2.3746956e-17
0	0.99166936	-9.793439e-09	-1.2387318e-09	0.16999997	0	0	-2.1666965e-17
0	0.99135834	-3.768946e-09	4.638423e-10	0.15999998	0	0	-1.9587605e-17
0	0.9910285	-5.5442797e-09	-1.0586518e-09	0.14999999	0	0	-1.750892e-17
0	0.9906783	-6.897608e-09	-7.1122486e-10	0.14	0	0	-1.5430948e-17
0	0.9903061	-1.071021e-08	-1.5661499e-09	0.13	0	0	-1.3353729e-17
0	0.98990995	-8.614734e-09	-1.0768417e-09	0.12	0	0	-1.1277319e-17
0	0.9894876	-9.415089e-09	-5.693437e-10	0.11000001	0	0	-9.20177e-18
0	0.9890373	-1.1888915e-08	-1.5043042e-09	0.10000002	0	0	-7.127134e-18
0	0.9885559	-1.2834789e-08	-2.1736923e-09	0.09	0	0	-5.053466e-18
0	0.9880409	-1.3547833e-08	-2.042725e-09	0.07999999	0	0	-2.9808469e-18
0	0.9874893	-1.4042598e-08	-1.3205863e-09	0.07	0	0	-9.09354e-19
0	0.9868975	-1.6661943e-08	-1.4042598e-09	0.06	0	0	1.1609484e-18
0	0.98626184	-1.8932042e-08	-1.3587851e-09	0.05000001	0	0	3.22996e-18
0	0.98557794	-2.5567715e-08	-5.2023097e-10	0.039999995	0	0	5.2975955e-18
0	0.9848407	-2.667366e-08	1.4715624e-09	0.03	0	0	7.363733e-18
0	0.98404634	-4.2666215e-08	-1.7917046e-09	0.019999998	0	0	9.428272e-18
0	0.9831872	-5.918264e-08	-2.75395e-09	0.009999999	0	0	1.149108e-17
0	0.98225856	-8.796633e-08	-2.2646418e-09	-3.0878078e-16	0	0	1.3552013e-17
0	0.98125196	-1.4346733e-07	-3.2323442e-09	-0.009999999	0	0	1.5610915e-17
0	0.98015976	-2.3684697e-07	-4.811227e-09	-0.019999998	0	0	1.7667613e-17
0	0.9789726	-3.7098653e-07	-4.274625e-10	-0.03	0	0	1.9721928e-17
0	0.9776809	-8.2334736e-07	-3.6834535e-09	-0.039999995	0	0	2.1773645e-17
0	0.97627276	-1.647335e-06	-3.090463e-09	-0.05000001	0	0	2.382253e-17
0	0.9747366	-5.079026e-06	-2.9631337e-09	-0.06	0	0	2.5868335e-17
0	0.9730565	-1.809356e-05	-4.3437467e-09	-0.07	0	0	2.7910765e-17
0	0.8444067	-0.29388982	-9.313226e-10	-0.07999999	0	0	2.888894e-17
0	0.8173086	-0.32387802	-1.4406396e-09	-0.09	0	0	3.0632106e-17
0	0.78493553	-0.35806546	-2.0372681e-09	-0.10000002	0	0	3.2313195e-17
0	0.7449234	-0.39893818	-1.5716068e-09	-0.11000001	0	0	3.3918945e-17
0	0.6913008	-0.452645	-4.656613e-10	-0.12	0	0	3.5428232e-17
0	-0.9903057	9.042444e-06	1.4879333e-09	-0.13	0	0	-1.3353729e-17
0	-0.9906778	2.2776949e-06	1.880835e-09	-0.14	0	0	-1.5430955e-17
0	-0.9910279	6.32077e-07	8.094503e-10	-0.14999999	0	0	-1.7508924e-17
0	-0.99135774	1.6258855e-07	1.9954314e-09	-0.15999998	0	0	-1.95876e-17
0	-0.99166876	3.3236574e-08	9.349606e-10	-0.16999997	0	0	-2.1666965e-17
0	-0.99196243	1.0113581e-08	1.540684e-09	-0.18	0	0	-2.3746959e-17
0	-0.99223995	9.094947e-09	1.6098056e-09	-0.19	0	0	-2.582755e-17
0	-0.99250245	5.9371814e-09	6.5847416e-10	-0.20000003	0	0	-2.7908697e-17
0	-0.9927511	5.9371814e-09	-1.9645086e-10	-0.21000002	0	0	-2.9990386e-17
0	-0.9929868	6.315531e-09	1.2496457e-09	-0.22000001	0	0	-3.2072598e-17
0	-0.99321055	4.7512003e-09	2.746674e-09	-0.23	0	0	-3.4155283e-17
0	-0.9934228	5.1004463e-09	2.419256e-10	-0.24	0	0	-3.6238412e-17
0	-0.99362504	5.515176e-09	1.3169483e-09	-0.25	0	0	-3.832199e-17
0	-0.99381715	4.7293724e-09	-1.1459633e-10	-0.26	0	0	-4.040597e-17
0	-0.9940004	4.2273314e-09	1.9108484e-09	-0.27	0	0	-4.2490366e-17
0	-0.99417496	4.0236046e-09	7.5033313e-10	-0.28	0	0	-4.4575115e-17
0	-0.9943415	5.2532414e-09	2.0299922e-09	-0.29	0	0	-4.6660216e-17
0	-0.9945006	4.132744e-09	1.029548e-09	-0.29999998	0	0	-4.8745684e-17
0	-0.9946526	3.3323886e-09	3.5743142e-10	-0.30999997	0	0	-5.083146e-17
0	-0.9947978	4.292815e-09	1.4106263e-09	-0.31999996	0	0	-5.2917543e-17
0	-0.99493694	6.162736e-09	7.9671736e-10	-0.33	0	0	-5.5003937e-17
0	-0.9950702	2.9758667e-09	1.3615136e-09	-0.33999994	0	0	-5.70906e-17
0	-0.99519795	3.1141099e-09	9.067662e-10	-0.34999993	0	0	-5.917755e-17
0	-0.9953205	2.0881998e-09	8.931238e-10	-0.36	0	0	-6.126478e-17
0	-0.99543804	4.3728505e-09	-8.6402e-11	-0.37	0	0	-6.335223e-17
0	-0.9955509	3.4851837e-09	8.4673957e-10	-0.38	0	0	-6.543993e-17
0	-0.99565935	1.5861588e-09	3.9744918e-10	-0.39	0	0	-6.752786e-17
0	-0.9957636	3.4051482e-09	7.885319e-10	-0.40000007	0	0	-6.9616037e-17
0	-0.995864	3.921741e-09	5.6024874e-10	-0.41000006	0	0	-7.170441e-17
0	-0.9959605	6.017217e-09	-7.557901e-10	-0.42000005	0	0	-7.379298e-17
0	-0.99605346	5.122274e-09	-2.4556357e-10	-0.43000004	0	0	-7.5881764e-17
0	-0.9961432	2.1827873e-09	-1.0686563e-09	-0.44000003	0	0	-7.7970726e-17
0	-0.99622965	1.9135769e-09	-1.8098945e-10	-0.45000002	0	0	-8.005989e-17
0	-0.9963129	4.321919e-09	2.8776412e-09	-0.46	0	0	-8.2149226e-17
0	-0.99639344	2.3283064e-10	2.0299922e-09	-0.47	0	0	-8.423874e-17
0	-0.9964711	2.582965e-09	3.6470738e-10	-0.48	0	0	-8.63284e-17
0	-0.99654615	3.0486262e-09	6.530172e-10	-0.49	0	0	-8.841823e-17
0	-0.99654627	2.6266207e-09	5.5933924e-10	-0.49	0	0	-8.841823e-17
0	-0.9964713	2.3646862e-09	9.986252e-10	-0.48	0	0	-8.63284e-17
0	-0.9963936	1.4260877e-09	4.28372e-10	-0.47	0	0	-8.423872e-17
0	-0.99631315	4.0308805e-09	2.1027518e-09	-0.46	0	0	-8.2149226e-17
0	-0.9962298	1.542503e-09	1.6425474e-09	-0.45000002	0	0	-8.005989e-17
0	-0.99614334	2.1100277e-09	-1.6543709e-09	-0.44000003	0	0	-7.7970726e-17
0	-0.9960537	2.8448994e-09	1.4897523e-09	-0.43000004	0	0	-7.5881764e-17
0	-0.99596065	4.2491592e-09	1.1368684e-09	-0.42000005	0	0	-7.379298e-17
0	-0.9958641	1.4115358e-09	7.2577677e-10	-0.41000006	0	0	-7.1704416e-17
0	-0.9957638	1.891749e-09	3.6743586e-10	-0.40000007	0	0	-6.9616037e-17
0	-0.99565953	4.300091e-09	1.9190338e-10	-0.39	0	0	-6.752787e-17
0	-0.9955511	2.6702764e-09	4.5019988e-10	-0.38	0	0	-6.543993e-17
0	-0.9954381	2.3646862e-09	-2.3646862e-10	-0.37	0	0	-6.3352234e-17
0	-0.9953206	4.10364e-09	1.4724719e-09	-0.36	0	0	-6.126478e-17
0	-0.9951981	2.73576e-09	-6.639311e-11	-0.34999993	0	0	-5.917755e-17
0	-0.99507046	3.1213858e-09	9.777068e-10	-0.33999994	0	0	-5.7090616e-17
0	-0.9949372	4.44561e-09	1.4779289e-09	-0.33	0	0	-5.5003927e-17
0	-0.9947981	4.671165e-09	7.848939e-10	-0.31999996	0	0	-5.291754e-17
0	-0.99465275	5.2386895e-09	6.4392225e-10	-0.30999997	0	0	-5.083145e-17
0	-0.9945008	4.4019544e-09	1.0250005e-09	-0.29999998	0	0	-4.8745677e-17
